id,title,is_paid,num_subscribers,avg_rating,num_reviews,num_published_lectures,num_published_practice_tests,created,discount_price_amount,price_detail_amount,published_time_year,published_time_month,category
2360154,Learn Mitsubishi PLC+HMI Programming for GOC 35 on Codesys,True,109,3.9,30,27,0,2019-05,455.0,3200.0,2019,5,[]
1692008,Bootstrap: Build a modern Responsive website with bootstrap,True,7710,4.9625,251,43,0,2018-05,455.0,1280.0,2018,6,['bootstrap']
1916470,The Complete Google Sheets Course: Beginner to Advanced!,True,10481,4.52916,2458,66,0,2018-09,455.0,8640.0,2019,3,[]
2226086,Deep Learning with Caffe 2 - Hands On!,True,62,3.65,10,59,0,2019-02,455.0,8640.0,2019,2,[]
2177462,Game Development 2020 : Build an Archery Game with Unity,True,117,4.55,17,20,0,2019-01,455.0,1280.0,2019,12,['unity']
1597108,ISTQB Certified Tester Foundation Level CTFL 2018 Syllabus,True,655,4.54545,217,32,0,2018-03,468.0,6400.0,2018,4,[]
1783126,GraphQL with NodeJs: From Beginner to Advanced Concepts,True,584,2.75,69,41,0,2018-07,455.0,8640.0,2018,7,['graphql']
1527398,A Beginner's Guide to Python Programming Language,True,1756,4.25,51,90,0,2018-01,455.0,8640.0,2018,2,['python']
1337064,Mastering QuickBooks Online,True,8934,4.40419,2481,31,0,2017-08,455.0,2880.0,2017,9,[]
560622,DIY Patent Search - How to Save on Patents,True,89,2.78571,7,17,0,2015-07,455.0,6400.0,2015,9,[]
1503766,Starting A Membership Business,True,866,4.2,5,11,0,2018-01,455.0,1280.0,2018,1,[]
1540674,How to Create a Money Making Wordpress Plugin,True,465,4.3,14,17,0,2018-02,455.0,3200.0,2018,2,['wordpress']
846480,Unsupervised Deep Learning in Python,True,16651,4.68182,1544,82,0,2016-05,468.0,7680.0,2016,5,['python']
